concept_from_alex_street,count_unique_wiki_article_text_appeared_in,count_unique_wiki_article_title_appeared_in,count_unique_alexander_street_docs_appeared_in
comes,377707,5806,42
appearance,377374,758,13
saint,377347,47438,2
battle,377019,33614,21
drew,376642,4422,12
takin,376469,1596,1
token,376358,866,4
b list,376064,215,1
stiff,375682,4436,1
areas,375129,3824,2
hit,374553,7453,2
rights,374244,18690,267
ones,374111,16787,13
stays,373912,6911,1
meet,373584,4597,129
weaving,373425,4107,1
individual,373271,4728,48
peep,372990,8751,2
electron,372687,124369,1
pick,372540,14369,10
foes,372494,1891,1
quote,372057,19597,10
search,371869,2972,17
weep,371257,8944,2
india,370721,33982,43
mob,370510,12942,10
adder,370459,2535,1
taken,370276,1349,256
lifted,370165,4587,7
unfit,370100,6253,1
added,370085,2068,66
fines,369955,2645,1
tie,369816,737921,3
compassion,369693,10217,2
guise,369340,3232,5
unit,368956,6695,10
wealth,368683,13443,19
guide,368591,4780,9
nearly,368322,5281,20
taxes,368073,4339,6
action,367979,7842,200
scientific,367571,2266,4
